Carol Papalia;6 de maio de 2019;Fiz todos os procedimentos que pedem, recebi uma notificação para fazer o depósito de ativação mas nao consigo acessar os dados, não sei nem o número da conta. já desinstalei e instalei novamente e não sai da tela inicial (relógio).;
Thed Haallen Hoazzenn;16 de novembro de 2018;Ótimo, simples, fácil e econômico e meu cartão chegou em dez dias após meu primeiro depósito de 25$. Bandeira Visa com crédito e débito e podendo investir online automaticamente. Excelente e não é complicado como no NuBank. A aprovação é rápida.;
Nicolas Augusto Pianta;15 de março de 2019;abri a conta. negaram Crédito. não recebi o cartão. e não respondem no suporte.;
Gabriel Rocha;5 de março de 2019;odiando, faz 3 dias q rento tira foto da CNH pra concluir 9 cadastro e nao consigo. fui em um estudio fotográfico pra utulizar luzes proficionais e estabilziador de camera e nem assim a foto foi... o aplicativo fica tirando a foto sozinho e memso qd sai certo ele nao registra e fica eternamente capt…;
Felipe Silva;8 de outubro de 2018;Eu gerei um boleto paguei e não aparece no app nem q eu peguei nem a minha conta foi ativada;
Wagner Silva;7 de agosto de 2019;muito bom o melhor;
Leonnardo Peixoto Majjella;9 de abril de 2019;App top de linha, estou usando a menos de um mes e estou satisfeito. Muito satisfeito por sinal. Suporte e pontualidade.;
Gelbson Andrade;7 de setembro de 2019;Só porque eu troquei de aparelho celular cancelei a co ta obvio tive que desinstalar o aplicativo, agora não posso mais fazer a conta? Muito errado isso;
Paulo Leonardo;30 de setembro de 2019;Melhor banco Digital!!!;
Aline Taniguchi;24 de outubro de 2019;Muito prático e rápido de abrir.;
Marcela Santos;1 de novembro de 2019;Pensei que fosse cartao de credito e nao de debito.;
Tadao Aizawa;14 de novembro de 2018;EXCELENTE BANCO !!! Controlo meus gastos e ainda guardo dinheiro .... com ótimo rendimento!!;
Rafael Ferreira;13 de agosto de 2019;eu fis o cadastro da minha conta ate agora só mandou eu fica no aguardo estão confeerido meus dados que demora;
Cayro Faion;4 de junho de 2019;Aplicativo esta travando muito, fico uns 10 min tentando abrir, trava na senha ou vc entra e volta pra tela da senha e trava. quando arrumar e parar de dar Bug volto a dar 5 estrelas !;
Djheisom prado silva;28 de dezembro de 2018;Prático, Simples e Seguro... bem vinda a era do Banco Virtual, e o Neon com o Banco Votorantim sairam na frente...;
FALCÃO GAMER;6 de fevereiro de 2019;muito facil de usar e o melhor de tudo, sem taxas!!;
Danilo Rodrigues;3 de outubro de 2018;O banco e bom e ágil mais aonda nao tem cartão de crédito "ainda";
RiiCk Games;16 de outubro de 2018;Nem conseguir cadastrar fala que meu CPF não pode agora eu não sei por que alguém poderia me informar estou muito precisando de um cartão de crédito;
Bruno Damasceno;12 de fevereiro de 2019;apertei sem querer pra pedir cartao de credito, e vou ter que esperar 30 dias,sendo que eu ainda nem tinha feito a traferencia pra ativar a conta ,que droga😭😭;
Jussiara De Jesus Aragão;4 de novembro de 2018;Não consegui finalizar o cadastro pelo aplicativo;
Prime TH;27 de dezembro de 2018;paguei por emissão de mas de 40 boletos,um prejuízo de quase 120 reais, sendo que eu sou Neon + que tem direito a emissão de boletos ilimitados;
João Barcelos;24 de outubro de 2019;Muito bom de mais!!!;
rogerio Venâncio;16 de setembro de 2019;Excelente Banco, cumpre certo com as informações e condições estabelecido;
Um usuário do Google;15 de março de 2019;será que vocês da neon ,podem tentar resolver o problema depois da atualização, por que é muita sacanagem.;
wagner santos;18 de setembro de 2019;já faz três meses que utilizo minha conta Neon, e até hoje não me deram um limite de crédito. sem falar no chat que demora muito a responder outra coisa é se o cliente não efetuar 10 compras no mês vai pagar tarifas. 😔😔;
Um usuário do Google;21 de dezembro de 2018;abri minha conta e queria informações de como usar pois preciso fazer depósito pra poder ter direito aos serviços. isso é seguro mesmo;
Rafael Oss;10 de janeiro de 2019;Vim aqui me redimir, tinha criticado o NEON, mad agora esta tudo certo, tudo funcionando, o serviço é excelente perante minhas necessidades, 5 estrelas!!!!! Obrigado;
Deivid Patrick;3 de julho de 2019;o melhor, transferência sem taxa, te dá dinheiro pir indicação...;
Um usuário do Google;3 de agosto de 2019;Esse é meu convite para ser aprovado MAURO28720;
