Iara Costa;23 de julho de 2019;app bom...mas deveria ter a funcao de pedir aumento no limite sem precisar ir a loja;
Joelma Pinheiro;7 de outubro de 2019;Tá sendo muito bom;
julianna freitas;7 de junho de 2019;otimo para acompanhar os gastos;
Gleberty Ferreira;29 de agosto de 2019;Que raiva o app pediu uma atualização e eu nao estou conseguindo baixa;
Edna Souza;3 de setembro de 2019;Dei cinco estrelas porq é muito bom;
Flávia Morais;8 de abril de 2019;facilita muito, até agora não tive problemas.;
Vanece Cardoso;2 de junho de 2019;muito bom adorei;
Elizeu Jaime Martins Chiogna;20 de junho de 2019;Gostei. Tentei gerar um cartão virtual várias vezes e não consegui. Acho que essa funcionalidade não funciona apesar da idéia ser muito boa.;
Marcela Carvalho;29 de agosto de 2019;muito bom, facilita bastante;
Lucas Maicon;30 de junho de 2019;Demora demais para Atualizar;
Binho Costa;6 de junho de 2019;Muito bom ! liberou um bom limite.;
Bruna Oliveira;15 de outubro de 2019;Acho meio confuso e fora de ordem as funções do aplicativo.;
cérebro de aço;1 de outubro de 2019;Top muito m obrigado por nos dar um app tão filé pra controlar meus gastos no cartão e ver meu limite etc...;
Alef Silva;19 de setembro de 2019;Muito bom;
Jeferson Andrade;8 de junho de 2019;otimo app ,ajuda muito e tem como saber as comprar e muito +++;
Malu Carvalho;19 de junho de 2019;MT bom poder controlar nossa fatura super recomendo;
José Antônio Da Silva Nascimento Leite;2 de maio de 2019;ótimo, simplesmente amo esse App!!!;
Natanael Sena;8 de agosto de 2019;não tem atendimento virtual;
Osvaldo Cardoso Bianco;9 de setembro de 2019;Recomendo pra toda mais a anuidade do cartão nao deveria existir;
Hadriano Gomes;19 de setembro de 2019;Muito bom ajuda muito;
Um usuário do Google;18 de dezembro de 2018;gostei muito do apricativo esta de parabéns.;
Maria Aparecida;19 de setembro de 2019;E App facilita em suas conferências diárias e e bem mais fácil de pagar o boleto. Estou amando ele.;
Julio Cesar Barros;1 de outubro de 2019;Ótimo;
Lauara Monseur;20 de julho de 2019;Sim. muito prático e ágil;
Luciene Rocha;27 de agosto de 2019;Ótimo;
Jurema Lima;22 de julho de 2019;muito bom esse aplicativo tudo bem declarado meus gasto;
João Victor Soares Ferreira;22 de abril de 2019;Maraviwonderfull, só o token que ainda está bem mais ou menos;
Rosângela de Lima;14 de setembro de 2019;Gosto do aplicativo porque me facilita e muito quando preciso observar minha fatura e os lançamentos futuros. Super recomendo;
JACK WOLF GAMER;26 de agosto de 2019;Legalt;
tania aparecida Lejanoski;8 de novembro de 2018;É bacana apesar de estar demorando para atualizar compras feitas e limite disponível.;
Maria Luiza Silva Almeida;10 de setembro de 2019;Horrível. Nao consigo resolver nada pelo app pq sempre da erro, so consigo ver o limite e quando ligo no auto atendimento o problema também nao é resolvido. Me arrependi de ter feito esse cartão.;
Cladiane Gaieski;19 de maio de 2019;adorei muito pratico...;
lenoir donacimentoribeiro;5 de setembro de 2019;O aplicativo é um dos melhores;
Mario T;14 de outubro de 2019;Não tem suporte! Tentei utilizar o cartão virtual, só dá erro! Liguei na central não pode ajudar no que se diz respeito ao app... 😕;
Um usuário do Google;29 de janeiro de 2019;É um dos melhores aplicativos q já encontrei;
Anderson Camurca;14 de setembro de 2019;Muito bom app rapido vcs estao parabens;
Um usuário do Google;2 de fevereiro de 2019;muito bom mesmo sempre com ofertas otimas e bom atendimento ao cliente nao tenho do que reclamar;
Um usuário do Google;9 de fevereiro de 2019;Não tenho o que reclamar... sou muito grata a magazine Luiza e sou muito bem atendida e tiro todas as minhas duvidas com qualquer produtos são todos de ótima qualidade saio satisfeita com meus produtos de excelente qualidade... obrigada a magazine Luiza 😍;
Damiana Tiano;22 de setembro de 2019;Eu amei muito bom;
Um usuário do Google;15 de março de 2019;tenho mais controle e segurança, porque posso acessar sempre que precisar. Òtimo!;
mamédio alves;1 de maio de 2019;muito bom e simples de usar;
Jonathan Silva;1 de janeiro de 2019;Eu abri um cartão de crédito e baixei um aplicativo utilizo o limite certo só que o limite utilizado ultrapassa muito mais no aplicativo e mostra que não tenho saldo aí preciso do cartão e diz que não tenho mais limite sendo que. não utilizei ele todo isso é um rolbo já espero que isso seja corrigid…;
Leila Sales;27 de maio de 2019;Não liberou o parcelamento da fatura pelo app. Não informa se o cartão com saldo está bloqueado para compras.;
maria das graças;22 de setembro de 2019;Ótima.;
Edineide Maria Ramos;3 de maio de 2019;Atendeu minhas expectativas, muito bom para acompanhar as compras.;
Neyara Suélly;29 de agosto de 2019;Aplicativo de Ótima eficiência... Parabéns!;
Emerson Xavier Da Silva;2 de setembro de 2019;muito bom adorei e um máximo esse aplicativo super recomendo;
Cido Carneiro;18 de setembro de 2019;👍;
Wanderson Gabriel;11 de maio de 2019;Encontro dificuldades em alterar o número de celular pra receber a fatura digital;
Valmor de souza;11 de setembro de 2019;So poderia atualizar a fatura na hora da compra .;
Marysol Kids;9 de abril de 2019;simples e bom!;
poxa vivi;28 de maio de 2019;muita burocracia para aumento de limite o cliente necessita de um limite alto paga as faturas em dia e nao pode ter um limite que atenda as suas necessidades;
Elvis Santos;30 de agosto de 2019;Completo;
Dennis Cardoozo;26 de maio de 2019;ótimo app fico com informações de todos os meus gasto e nome da loja onde foi efetuado a compra;
sidineia araujo;27 de setembro de 2019;Bom;
PAULACRISTIANY CARVALHO DA SILVA;9 de setembro de 2019;Bastante claro e posso sempre ta informada de tudo que compro.;
Cida Barros;1 de março de 2019;muito bom msm;
Robson Leite;16 de julho de 2019;ótimo eu recomendo;
antonio raimundo p. pereira;4 de janeiro de 2019;Muito fácil de usar e bem útil ajudou bastante agora tenho informações sobre minhas fatuas nas mãos está de parabéns gostei muito.;
Gustavo game;13 de junho de 2019;e otimo esse cartão;
Um usuário do Google;30 de março de 2019;gostaria de fazer um cartão da loja;
Um usuário do Google;20 de janeiro de 2019;Muito funcional, rapido e simples, recomendo!!!!;
Giovani Santana De Oliveira;25 de maio de 2019;sim muito util bom de mais;
Janaina Gabriela Alves Da Silva;27 de julho de 2019;Bom aplicativo, poderia atualizar mais as compras feitas com o cartão.;
airislene elcelia;27 de fevereiro de 2019;parou de funcionar, do nada;
Joel Alvarenga;15 de outubro de 2019;Muito bom mesmo este app.;
Wesley Vitalino De Souza;4 de maio de 2019;gostei muito do app;
Elizangela Lima;28 de junho de 2019;ótimo muito bom;
Um usuário do Google;10 de março de 2019;cara sou apaixonado por esse app me deixa por Dentro de tdo!;
Sidney Sivire;7 de julho de 2019;Não disponiviliza baixar a fatura para pagamento;
DALIANE FRANCIELE SOUZA;7 de outubro de 2019;O App podia ser bom.Tento cancelar o envio de SMS e não dá só fica dando erro fora outras coisas também e tudo cobra, mas para contratar os serviço funciona que uma maravilha né já pra cancela nunca dá.;
Ricardo Play;2 de setembro de 2019;Amei;
Alessandro Vieira;2 de agosto de 2019;Não consigo entrar no App, depois da última atualização não consigo mais. Da uma informação> OCORREU ALGUM ERRO TENTAR MAIS TARDE... #Insatisfeito;
Manoel José da Silva;12 de junho de 2019;muito bom esse app;
Caio Marcelino;4 de outubro de 2019;Ruim;
Joilma Candido;14 de maio de 2019;adorei esse aplicativo estão dw parabéns;
Enaldo Vicente;22 de junho de 2019;É ótimo muito bom;
Janaína Marinho;25 de junho de 2019;Nao é bom n. trava muito, nao geral boleto... Demora demais para atualizar. !;
MARCOS ANTONIO VALERIO;30 de abril de 2019;o app é muito util facil de usar , Podemos monitorar nossos gasto , acho que falta um suporte para pedir aumento de limite;
nisley cruz;26 de setembro de 2019;ficou show;
Mateus Sousa;31 de dezembro de 2018;ótimo aplicativo principalmente para quem possui o cartão do magazine;
MICHELI CAMARGO ESPERANÇA;10 de junho de 2019;gostando muito...fico por dentro de todas as compras ,limites ,fechamentos etc, ♥️♥️;
CARLA CRISTINA;18 de outubro de 2019;Gostei...muito útil;
Maria Izabel Assis Santos;3 de junho de 2019;ótimo,super indico;
Fabio Machado;31 de maio de 2019;App excelente, só não ganhou 5 estrelas, pois na minha opinião o app poderia ter o mesmo sistema que master Santander tem que me possibilita, pagar as faturas antecipadamente, independente do número de parcelas;
Lucinéa Guimarães;25 de maio de 2019;Muito bom. auxilia muito no controle e uso do cartão;
Marcio Santos;13 de outubro de 2019;Desde a última atualização o aplicativo não abre, desinstalei, limpei cachê, forcei parada, mas não abre, preciso da fatura, caso contrário terei que ir na loja... E não tenho tempo pra isso, arrumem isso, por favor.;
Um usuário do Google;7 de março de 2019;bom de mais!!!!!;
